Cluster#,GeneID,CORUM complex,Product Description,#TM Domains,Ortholog Group,Computed GO Components,Computed GO Functions,Computed GO Processes,Symbol,Phenotype Bushell 2017,Phenotype Zhang 2018
9,PF3D7_1224300,DNA-PK-Ku-eIF2-NF90-NF45 complex,"polyadenylate-binding protein, putative",0,OG5_126795,null,"RNA binding, nucleotide binding",null,PABP,Essential,Non - Mutable in CDS
9,PF3D7_1459000,DNA-PK-Ku-eIF2-NF90-NF45 complex,ATP-dependent RNA helicase DBP5,0,OG5_127716,null,"ATP binding, nucleic acid binding",null,DBP5,Essential,Non - Mutable in CDS
9,PF3D7_1461900,DNA-PK-Ku-eIF2-NF90-NF45 complex,"valine--tRNA ligase, putative",0,OG5_126723,null,"ATP binding, aminoacyl-tRNA editing activity, valine-tRNA ligase activity",valyl-tRNA aminoacylation,PF14_0589,Essential,Non - Mutable in CDS
9,PF3D7_1345700,DNA-PK-Ku-eIF2-NF90-NF45 complex,"isocitrate dehydrogenase [NADP], mitochondrial",0,OG5_127057,null,"NAD binding, isocitrate dehydrogenase (NADP+) activity, magnesium ion binding","isocitrate metabolic process, oxidation-reduction process",IDH,Slow,Non - Mutable in CDS
9,PF3D7_1436600,DNA-PK-Ku-eIF2-NF90-NF45 complex,cGMP-dependent protein kinase,0,OG5_127599,null,"ATP binding, protein serine/threonine kinase activity",protein phosphorylation,PKG,,Non - Mutable in CDS
9,PF3D7_1363400,DNA-PK-Ku-eIF2-NF90-NF45 complex,"polyubiquitin binding protein, putative",0,OG5_128172,null,protein binding,null,DOA1,,Mutable in CDS
9,PF3D7_1312600,DNA-PK-Ku-eIF2-NF90-NF45 complex,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial, putative",0,OG5_128261,null,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",metabolic process,BCKDHA,Slow,Non - Mutable in CDS
9,PF3D7_1423300,DNA-PK-Ku-eIF2-NF90-NF45 complex,serine/threonine protein phosphatase 7,0,OG5_134377,null,"calcium ion binding, hydrolase activity, protein binding",null,PP7,Essential,Non - Mutable in CDS
9,PF3D7_1010600,DNA-PK-Ku-eIF2-NF90-NF45 complex,eukaryotic translation initiation factor 2 subunit beta,0,OG5_127339,null,translation initiation factor activity,translational initiation,EIF2BETA,,Non - Mutable in CDS
9,PF3D7_0504600,DNA-PK-Ku-eIF2-NF90-NF45 complex,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial, putative",0,OG5_128323,null,catalytic activity,metabolic process,BCKDHB,Slow,Non - Mutable in CDS
9,PF3D7_1451100,DNA-PK-Ku-eIF2-NF90-NF45 complex,elongation factor 2,0,OG5_126923,null,"GTP binding, GTPase activity",null,EEF2,Essential,Non - Mutable in CDS
9,PF3D7_0708400,DNA-PK-Ku-eIF2-NF90-NF45 complex,heat shock protein 90,0,OG5_126623,null,"ATP binding, unfolded protein binding","protein folding, response to stress",HSP90,Slow,Non - Mutable in CDS
9,PF3D7_1012600,DNA-PK-Ku-eIF2-NF90-NF45 complex,GMP synthase [glutamine-hydrolyzing],0,OG5_127152,null,"ATP binding, GMP synthase (glutamine-hydrolyzing) activity, pyrophosphatase activity",GMP biosynthetic process,GMPS,Slow,Non - Mutable in CDS
10,PF3D7_0914400,,"conserved Plasmodium protein, unknown function",0,OG5_133351,"cytoplasm, integral component of membrane","nucleotide binding, transmembrane transporter activity",null,PFI0705W,,Non - Mutable in CDS
10,PKNH_1441400,,"endoplasmin, putative",0,OG5_126623,null,"ATP binding, unfolded protein binding","protein folding, response to stress",,,
10,PF3D7_0912800,,"tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative",0,OG5_163863,"nucleus, tRNA (m1A) methyltransferase complex","DNA binding, DNA-directed RNA polymerase activity, translation initiation factor activity","regulation of translational initiation, tRNA methylation, transcription, DNA-templated, translational initiation",GCD10,,Non - Mutable in CDS
11,PF3D7_1325000,,"U6 snRNA-associated Sm-like protein LSm6, putative",0,OG5_128262,small nucleolar ribonucleoprotein complex,null,"mRNA splicing, via spliceosome",LSM6,Slow,Non - Mutable in CDS
11,PF3D7_1107000,,"U6 snRNA-associated Sm-like protein LSm4, putative",0,OG5_128255,null,null,null,LSM4,Essential,Non - Mutable in CDS
11,PF3D7_0610500,,"peptidyl-tRNA hydrolase PTRHD1, putative",0,OG5_130573,null,aminoacyl-tRNA hydrolase activity,null,2270.T00210,Dispensable,Non - Mutable in CDS
12,PF3D7_1435300,,"NAD(P)H-dependent glutamate synthase, putative",0,OG5_126892,null,"glutamate synthase activity, iron-sulfur cluster binding, oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor","glutamate biosynthetic process, oxidation-reduction process",PF14_0334,Slow,Mutable in CDS
12,PF3D7_0716800,,"eukaryotic translation initiation factor 3 subunit I, putative",0,OG5_127718,null,protein binding,null,EIF3I,Essential,Non - Mutable in CDS
13,PF3D7_0217800,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",40S ribosomal protein S26,0,OG5_127138,ribosome,structural constituent of ribosome,translation,RPS26,,Non - Mutable in CDS
13,PF3D7_0316800,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S15A, putative",0,OG5_126878,ribosome,structural constituent of ribosome,translation,MAL3P6.30,,Non - Mutable in CDS
13,PF3D7_0503800,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L31,0,OG5_126907,ribosome,structural constituent of ribosome,translation,RPL31,Essential,Non - Mutable in CDS
13,PF3D7_0507100,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L4,0,OG5_127050,ribosome,structural constituent of ribosome,translation,RPL4,,Non - Mutable in CDS
13,PF3D7_0415900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","60S ribosomal protein L15, putative",0,OG5_127033,ribosome,structural constituent of ribosome,translation,MAL4P1.149,Essential,Non - Mutable in CDS
13,PF3D7_0516900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L2,0,OG5_126641,ribosome,structural constituent of ribosome,translation,RPL2,,Non - Mutable in CDS
13,PF3D7_0304400,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L44,0,OG5_126988,ribosome,structural constituent of ribosome,translation,RPL44,,
13,PF3D7_0306900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S23, putative",0,OG5_127029,small ribosomal subunit,structural constituent of ribosome,translation,MAL3P2.27,Essential,Non - Mutable in CDS
13,PF3D7_0210900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","conserved Plasmodium protein, unknown function",0,OG5_173790,null,null,null,PF02_0102,Slow,Mutable in CDS
13,PF3D7_0312800,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","60S ribosomal protein L26, putative",0,OG5_126931,large ribosomal subunit,structural constituent of ribosome,translation,MAL3P4.28,,Non - Mutable in CDS
13,PF3D7_0614500,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L19,0,OG5_126940,ribosome,structural constituent of ribosome,translation,RPL19,,Non - Mutable in CDS
13,PF3D7_0317600,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S11, putative",0,OG5_126986,ribosome,structural constituent of ribosome,translation,RPS11,,Non - Mutable in CDS
13,PF3D7_0322900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S3A, putative",0,OG5_126852,ribosome,structural constituent of ribosome,translation,RPS3A,,Non - Mutable in CDS
13,PF3D7_0706400,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L37,0,OG5_126918,ribosome,structural constituent of ribosome,translation,RPL37,Essential,Non - Mutable in CDS
13,PF3D7_0710600,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L34,0,OG5_127025,ribosome,structural constituent of ribosome,translation,RPL34,,Non - Mutable in CDS
13,PF3D7_0719600,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","60S ribosomal protein L11a, putative",0,OG5_126688,ribosome,structural constituent of ribosome,translation,PF07_0079,,Non - Mutable in CDS
13,PF3D7_0721600,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S5, putative",0,OG5_127064,small ribosomal subunit,"RNA binding, structural constituent of ribosome",translation,PF07_0088,Essential,Non - Mutable in CDS
13,PF3D7_0813900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S16, putative",0,OG5_126930,ribosome,structural constituent of ribosome,translation,RPS16,Essential,Non - Mutable in CDS
13,PF3D7_0814000,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","60S ribosomal protein L13-2, putative",0,OG5_127128,ribosome,structural constituent of ribosome,translation,PF08_0075,,Non - Mutable in CDS
13,PF3D7_0519400,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",40S ribosomal protein S24,0,OG5_126896,ribosome,structural constituent of ribosome,translation,RPS24,Essential,Non - Mutable in CDS
13,PF3D7_0821700,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","60S ribosomal protein L22, putative",0,OG5_127156,ribosome,structural constituent of ribosome,translation,PF08_0039,Essential,Non - Mutable in CDS
13,PF3D7_0903900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L32,0,OG5_126965,ribosome,structural constituent of ribosome,translation,RPL32,Essential,Non - Mutable in CDS
13,PF3D7_0611700,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L39,0,OG5_127376,ribosome,structural constituent of ribosome,translation,RPL39,Slow,Non - Mutable in CDS
13,PF3D7_1004000,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","60S ribosomal protein L13, putative",0,OG5_126957,large ribosomal subunit,structural constituent of ribosome,translation,PF10_0043,Essential,Non - Mutable in CDS
13,PF3D7_1019400,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","60S ribosomal protein L30e, putative",0,OG5_127005,null,null,null,PF10_0187,Essential,Non - Mutable in CDS
13,PF3D7_0705700,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S29, putative",0,OG5_127205,ribosome,structural constituent of ribosome,translation,MAL7P1.300,,Non - Mutable in CDS
13,PF3D7_1105400,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S4, putative",0,OG5_126890,"mitochondrion, ribosome","RNA binding, structural constituent of ribosome",translation,PF11_0065,,Non - Mutable in CDS
13,PF3D7_1108700,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",heat shock protein DnaJ homologue Pfj2,1,OG5_135569,mitochondrion,null,cell redox homeostasis,PF11_0099,Essential,Non - Mutable in CDS
13,PF3D7_1109900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",60S ribosomal protein L36,0,OG5_127134,ribosome,structural constituent of ribosome,translation,RPL36,Essential,Non - Mutable in CDS
13,PF3D7_1116000,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",rhoptry neck protein 4,0,OG5_156194,null,null,null,RON4,Essential,Non - Mutable in CDS
13,PF3D7_1124900,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","60S ribosomal protein L35, putative",0,OG5_127176,ribosome,structural constituent of ribosome,translation,RPL35,,Non - Mutable in CDS
13,PF3D7_1126200,"40S ribosomal subunit, cytoplasmic; Ribosome, cytoplasmic; 60S ribosomal subunit, cytoplasmic; 40S ribosomal subunit, cytoplasmic; Parvulin-associated pre-rRNP complex; Nop56p-associated pre-rRNA complex; TNF-alpha/NF-kappa B signaling complex 6; RBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)","40S ribosomal protein S18, putative",0,OG5_126668,ribosome,"RNA binding, structural constituent of ribosome",translation,RPS18,,Non - Mutable in CDS
